actor_id,actor
1,Aamir Khan
2,Aaron Eckhart
3,Abdel Ahmed Ghili
4,Abdel-Moulah Boujdouni
5,Abdullah Abbas
6,Abe Simon
7,Abe Vigoda
8,Abhijit Chatterjee
9,Abhishek Shukla
10,Achala Sachdev
11,Ada Nicodemou
12,Adam Baldwin
13,Adam Goldberg
14,Adam Matejka
15,Adam Williams
16,Adi Nitzan
17,Adnan Kundi
18,Adolf Hitler
19,Adolphe Menjou
20,Adrien Barazzone
21,Adèle Haenel
22,Agnes Moorehead
23,Agustín González
24,Ahmad Massad
25,Ahmed Ahmedpoor
26,Ahn Seong-bong
27,Airi Ohtsu
28,Ait Ansari
29,Ajay Mitra
30,Ajith
31,Ajnur Redzepi
32,Aju Makita
33,Akari Kageyama
34,Akari Kitô
35,Akbar Mouradi
36,Akemi Yamaguchi
37,Aki Asakura
38,Aki Kobayashi
39,Akihiko Hirata
40,Akihiro Kakuta
41,Akihiro Miwa
42,Akihiro Yamamoto
43,Akiji Kobayashi
44,Akiko Yajima
45,Akio Nakadai
46,Akio Nakamura
47,Akio Otsuka
48,Akio Tanaka
49,Akira Emoto
50,Akira Ishida
51,Akira Ishihama
52,Akira Kubo
53,Akira Nagoya
54,Akira Sakamoto
55,Akira Terao
56,Akira Yamanouchi
57,Akira Ôizumi
58,Akitake Kôno
59,Al Ernest Garcia
60,Al Leong
61,Al Lettieri
62,Al Martino
63,Al Matthews
64,Al Mulock
65,Al Pacino
66,Alain Cuny
67,Alain Delon
68,Alain Dijon
69,Alan Baxter
70,Alan Rickman
71,Alanna Ubach
72,Alban Ukaj
73,Albert Augier
74,Albert Austin
75,Albert Bassermann
76,Albert Brooks
77,Albert Brouett
78,Albert Delpy
79,Albert Hall
80,Albert Høeberg
81,Albert Rémy
82,Alberto Albani Barbieri
83,Alden Ehrenreich
84,Aldo Berti
85,Aldo Fabrizi
86,Aldo Gianni
87,Aldo Giuffrè
88,Aldo Rendine
89,Aldo Sambrell
90,Aldo Silvani
91,Alec Baldwin
92,Alec Guinness
93,Aleka Paizi
94,Aleksandr Belinsky
95,Aleksandr Berda
96,Aleksandr Fatyushin
97,Aleksandr Kaydanovskiy
98,Aleksandr Popov
99,Aleksandr Shvorin
100,Aleksandr Zvenigorsky
101,Aleksey Batalov
102,Aleksey Kravchenko
103,Aleksey Mironov
104,Alena Pavlíková
105,Alessandra Mussolini
106,Alex Calloway
107,Alex Huszar
108,Alex McCrindle
109,Alex Sol
110,Alexander Campbell
111,Alexander Godunov
112,Alexander Gould
113,Alexandra Stewart
114,Alexandre Goyette
115,Alexandre Mihalesco
116,Alexandre Rodrigues
117,Alfonso Arau
118,Alfonso Bedoya
119,Alfonso Crudele
120,Alfonso Mejía
121,Alfred Abel
122,Alfred Molina
123,Alfredo Landa
124,Alfréd Járai
125,Ali Astin
126,Ali Djamali
127,Ali Fattahi
128,Ali-Asghar Shahbazi
129,Alice Braga
130,Alice Ghostley
131,Alida Valli
132,Alik Denisov
133,Aline Levasseur
134,Alisa Freyndlikh
135,Alison Crosbie
136,Alison Folland
137,Alison Halstead
138,Alistair Browning
139,Alla Demidova
140,Allan Edwall
141,Allel El Mouhib
142,Allison Janney
143,Alma Delia Fuentes
144,Alojz Kramar
145,Alok Chakravarty
146,Alonzo Brown
147,Amanda Plummer
148,Amandla Stenberg
149,Amar Kumar Dang
150,Amedeo Nazzari
151,America Ferrera
152,Amerigo Castrighella
153,Amerigo Fontani
154,Amine Benzenine
155,Amir Ali Said
156,Amon Kabe
157,Amrish Puri
158,Amy Adams
159,Amy Levitt
160,Ana Ofelia Murguía
161,Ana Reeder
