director_id,director
1,Aamir Khan
2,Abbas Kiarostami
3,Aditya Chopra
4,Adrian Molina
5,Akira Kurosawa
6,Alejandro Doria
7,Alfred Hitchcock
8,Andrei Tarkovsky
9,Andrew Stanton
10,Anjali Menon
11,Anna Muylaert
12,Anthony Russo
13,Asghar Farhadi
14,Billy Wilder
15,Bob Persichetti
16,Bong Joon Ho
17,Brad Bird
18,Bryan Singer
19,Buster Keaton
20,Carl Theodor Dreyer
21,Carlos Martínez López
22,Carol Reed
23,Charles Chaplin
24,Christopher Nolan
25,Chuck Jones
26,Claude Barras
27,Clint Eastwood
28,Clyde Bruckman
29,Costa-Gavras
30,Céline Sciamma
31,David Fincher
32,David Lean
33,David Lynch
34,David Yates
35,Dean DeBlois
36,Denis Villeneuve
37,Destin Daniel Cretton
38,Dino Risi
39,Edward Yang
40,Eldar Ryazanov
41,Elem Klimov
42,Elia Kazan
43,Elio Petri
44,Emir Kusturica
45,Ernst Lubitsch
46,Ethan Coen
47,Ettore Scola
48,F.W. Murnau
49,Federico Fellini
50,Florian Henckel von Donnersmarck
51,Florian Zeller
52,Francis Ford Coppola
53,Frank Capra
54,Frank Darabont
55,František Vláčil
56,François Truffaut
57,Fred C. Newmeyer
58,Fritz Lang
59,George Lucas
60,George Roy Hill
61,Gillo Pontecorvo
62,Guel Arraes
63,Guillermo del Toro
64,Gus Van Sant
65,Haruo Sotozaki
66,Hayao Miyazaki
67,Hideaki Anno
68,Hirokazu Koreeda
69,Hiroshi Teshigahara
70,Hun Jang
71,Ingmar Bergman
72,Irvin Kershner
73,Isao Takahata
74,Jacques Becker
75,James Cameron
76,James Mangold
77,Jasmila Zbanic
78,Jay Oliva
79,Jean Renoir
80,Jean-Pierre Jeunet
81,Jean-Pierre Melville
82,Jim Sheridan
83,Joaquim Dos Santos
84,Joel Coen
85,John Ford
86,John Huston
87,John Lasseter
88,John McTiernan
89,Jonas Åkerlund
90,Jonathan Demme
91,Joseph Kosinski
92,Joseph L. Mankiewicz
93,Ján Kadár
94,Jūzō Itami
95,Kaige Chen
96,Katsuhiro Ōtomo
97,Kenji Mizoguchi
98,Kátia Lund
99,Lana Wachowski
100,Larisa Shepitko
101,Leo McCarey
102,Luis Buñuel
103,Makoto Shinkai
104,Mamoru Hosoda
105,Mamoru Oshii
106,Marcel Carné
107,Mario Camus
108,Martin Scorsese
109,Masaki Kobayashi
110,Mathieu Kassovitz
111,Michael Curtiz
112,Michael Powell
113,Michel Gondry
114,Mikheil Kalatozishvili
115,Miloš Forman
116,Orson Welles
117,Otto Preminger
118,Park Chan-wook
119,Paul Thomas Anderson
120,Pete Docter
121,Peter Jackson
122,Peter Weir
123,Quentin Tarantino
124,Rainer Werner Fassbinder
125,Richard Linklater
126,Ridley Scott
127,Rob Reiner
128,Robert Bresson
129,Robert Mulligan
130,Robert Zemeckis
131,Roberto Benigni
132,Roger Allers
133,Roman Polanski
134,Satyajit Ray
135,Sergio Leone
136,Shin'ichirô Ushijima
137,Sidney Lumet
138,Sriram Raghavan
139,Stanley Donen
140,Stanley Kramer
141,Stanley Kubrick
142,Steve McQueen
143,Steven Spielberg
144,Sunghoo Park
145,Sôichi Masui
146,Taichi Ishidate
147,Takashi Yamazaki
148,Takehiko Inoue
149,Tatsuya Ishihara
150,Terry Gilliam
151,Terry McDonough
152,Thomas Kail
153,Tom McCarthy
154,Tony Kaye
155,Vittorio De Sica
156,Vladimir Bortko
157,Walter Salles
158,Wen Jiang
159,William Wyler
160,Wim Wenders
161,Wolfgang Petersen
162,Wong Kar-Wai
163,Xavier Dolan
164,Yasujirō Ozu
165,Yimou Zhang
166,Yōji Yamada
167,Ágnes Hranitzky
