movie_id,director_id,Title,Year,Rating,Votes,Runtime_minutes
1,52,The Godfather,1972,9.2,2300000,175
2,137,12 Angry Men,1957,9.0,1000000,96
3,143,Schindler's List,1993,9.0,1600000,196
4,54,The Shawshank Redemption,1994,9.3,3200000,142
5,52,The Godfather Part II,1974,9.0,1500000,202
6,24,The Dark Knight,2008,9.1,3200000,152
7,109,Harakiri,1962,8.6,94000,133
8,121,The Lord of the Rings: The Return of the King,2003,9.0,2200000,201
9,16,Parasite,2019,8.5,1200000,132
10,5,Seven Samurai,1954,8.6,406000,207
11,135,"The Good, the Bad and the Ugly",1966,8.8,901000,178
12,109,The Human Condition III: A Soldier's Prayer,1961,8.8,9100,190
13,66,Spirited Away,2001,8.6,985000,124
14,73,Grave of the Fireflies,1988,8.5,396000,88
15,83,Spider-Man: Across the Spider-Verse,2023,8.5,553000,140
16,108,GoodFellas,1990,8.7,1400000,145
17,103,Your Name.,2016,8.4,405000,106
18,89,Lemonade,2016,8.3,3800,65
19,36,Dune: Part Two,2024,8.4,793000,166
20,72,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1500000,124
21,15,Spider-Man: Into the Spider-Verse,2018,8.4,817000,117
22,123,Pulp Fiction,1994,8.8,2500000,154
23,62,A Dog's Will,2000,8.6,22000,104
24,69,Woman in the Dunes,1964,8.4,26000,147
25,115,One Flew Over the Cuckoo's Nest,1975,8.6,1200000,133
26,90,The Silence of the Lambs,1991,8.6,1700000,118
27,5,High and Low,1963,8.4,74000,143
28,7,Psycho,1960,8.5,794000,109
29,7,Rear Window,1954,8.4,574000,112
30,146,Violet Evergarden: The Movie,2020,8.3,15000,140
31,14,Witness for the Prosecution,1957,8.4,164000,116
32,98,City of God,2002,8.6,882000,130
33,5,Ikiru,1952,8.3,104000,143
34,53,It's a Wonderful Life,1946,8.6,559000,130
35,14,Sunset Boulevard,1950,8.4,264000,110
36,23,Modern Times,1936,8.5,288000,87
37,111,Casablanca,1942,8.5,661000,102
38,39,A Brighter Summer Day,1991,8.2,15000,237
39,139,Singin' in the Rain,1952,8.3,286000,103
40,130,Back to the Future,1985,8.5,1500000,116
41,143,Saving Private Ryan,1998,8.6,1700000,169
42,141,Paths of Glory,1957,8.4,243000,88
43,135,Once Upon a Time in the West,1968,8.5,388000,145
44,52,Apocalypse Now,1979,8.4,778000,147
45,152,Hamilton,2020,8.3,143000,160
46,109,Samurai Rebellion,1967,8.3,16000,128
47,66,Princess Mononoke,1997,8.3,491000,133
48,59,Star Wars: Episode IV - A New Hope,1977,8.6,1600000,121
49,74,Le Trou,1960,8.5,24000,131
50,4,Coco,2017,8.4,727000,105
51,161,Das Boot,1981,8.3,291000,149
52,97,Sansho the Bailiff,1954,8.3,20000,124
53,23,City Lights,1931,8.5,218000,87
54,64,Good Will Hunting,1997,8.4,1200000,126
55,141,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,555000,95
56,164,Tokyo Story,1953,8.1,79000,137
57,75,Terminator 2: Judgment Day,1991,8.6,1300000,137
58,126,Alien,1979,8.4,1100000,117
59,132,The Lion King,1994,8.5,1300000,88
60,134,The World of Apu,1959,8.4,21000,105
61,75,Aliens,1986,8.4,848000,137
62,13,A Separation,2011,8.3,280000,123
63,23,The Kid,1921,8.2,147000,68
64,41,Come and See,1985,8.3,127000,142
65,9,WALL·E,2008,8.4,1300000,98
66,118,The Handmaiden,2016,8.1,208000,145
67,51,The Father,2020,8.2,250000,97
68,92,All About Eve,1950,8.2,151000,138
69,125,Before Sunrise,1995,8.1,384000,101
70,164,Late Spring,1949,8.2,22000,110
71,128,A Man Escaped,1956,8.1,31000,101
72,38,Il sorpasso,1962,8.2,15000,108
73,148,The First Slam Dunk,2022,8.0,13000,124
74,87,Toy Story,1995,8.3,1200000,81
75,23,The Great Dictator,1940,8.4,260000,125
76,24,Memento,2000,8.4,1500000,113
77,5,Ran,1985,8.2,155000,160
78,30,Portrait of a Lady on Fire,2019,8.0,130000,122
79,14,Double Indemnity,1944,8.3,183000,107
80,65,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,103000,117
81,112,The Red Shoes,1948,8.1,44000,135
82,8,Stalker,1979,8.0,158000,162
83,47,A Special Day,1977,8.1,19000,103
84,108,The Departed,2006,8.5,1600000,151
85,14,The Apartment,1960,8.3,223000,125
86,21,Klaus,2019,8.2,243000,96
87,110,La haine,1995,8.1,232000,98
88,58,Metropolis,1927,8.2,203000,150
89,134,Pather Panchali,1955,8.2,42000,125
90,120,Up,2009,8.3,1300000,96
91,116,Citizen Kane,1941,8.2,497000,119
92,73,The Tale of The Princess Kaguya,2013,8.0,63000,137
93,8,The Mirror,1975,7.9,58000,107
94,67,Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.0,19000,155
95,49,Nights of Cabiria,1957,8.1,58000,110
96,2,Where Is the Friend's House?,1987,8.1,24000,83
97,86,The Treasure of the Sierra Madre,1948,8.2,143000,126
98,93,The Shop on Main Street,1965,8.2,11000,128
99,31,Fight Club,1999,8.8,2700000,139
100,67,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,79000,87
101,91,Top Gun: Maverick,2022,8.2,906000,130
102,114,The Cranes Are Flying,1957,8.3,23000,95
103,39,Yi Yi,2000,8.1,35000,173
104,7,North by Northwest,1959,8.2,372000,136
105,5,Rashomon,1950,8.1,199000,88
106,106,Children of Paradise,1945,8.3,23000,189
107,147,Godzilla Minus One,2023,7.6,231000,124
108,56,The 400 Blows,1959,8.0,136000,99
109,164,Early Summer,1951,8.0,11000,125
110,100,The Ascent,1977,8.2,13000,111
111,99,The Matrix,1999,8.7,2300000,136
112,50,The Lives of Others,2006,8.4,447000,137
113,143,Raiders of the Lost Ark,1981,8.4,1100000,115
114,157,Central Station,1998,8.0,52000,110
115,122,The Truman Show,1998,8.2,1400000,103
116,104,Wolf Children,2012,8.1,56000,117
