Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
The Godfather,1972,9.2,2300000,"['Crime', 'Drama']",175,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Richard S. Castellano', 'Robert Duvall', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri', 'Diane Keaton', 'Abe Vigoda', 'Talia Shire', 'Gianni Russo', 'John Cazale', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana']",https://www.imdb.com/title/tt0068646/
12 Angry Men,1957,9.0,1000000,"['Crime', 'Drama']",96,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker']",https://www.imdb.com/title/tt0050083/
Schindler's List,1993,9.0,1600000,"['Biography', 'Drama', 'History']",196,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz', 'Malgorzata Gebel', 'Shmuel Levy', 'Mark Ivanir', 'Béatrice Macola', 'Andrzej Seweryn', 'Friedrich von Thun', 'Krzysztof Luft', 'Harry Nehring', 'Norbert Weisser', 'Adi Nitzan', 'Michael Schneider', 'Miri Fabian']",https://www.imdb.com/title/tt0108052/
The Shawshank Redemption,1994,9.3,3200000,['Drama'],142,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'Mark Rolston', 'James Whitmore', 'Jeffrey DeMunn', 'Larry Brandenburg', 'Neil Giuntoli', 'Brian Libby', 'David Proval', 'Joseph Ragno', 'Jude Ciccolella', 'Paul McCrane', 'Renee Blaine', 'Scott Mann']",https://www.imdb.com/title/tt0111161/
The Godfather Part II,1974,9.0,1500000,"['Crime', 'Drama']",202,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton', 'John Cazale', 'Talia Shire', 'Lee Strasberg', 'Michael V. Gazzo', 'G.D. Spradlin', 'Richard Bright', 'Gastone Moschin', 'Tom Rosqui', 'Bruno Kirby', 'Frank Sivero', 'Francesca De Sapio', 'Morgana King', 'Marianna Hill', 'Leopoldo Trieste']",https://www.imdb.com/title/tt0071562/
The Dark Knight,2008,9.1,3200000,"['Crime', 'Thriller']",152,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal', 'Gary Oldman', 'Morgan Freeman', 'Monique Gabriela Curnen', 'Ron Dean', 'Cillian Murphy', 'Chin Han', 'Nestor Carbonell', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall', 'Keith Szarabajka', 'Colin McFarlane', 'Joshua Harto']",https://www.imdb.com/title/tt0468569/
Harakiri,1962,8.6,94000,"['Drama', 'Mystery']",133,Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurō Tanba', 'Masao Mishima', 'Ichirô Nakatani', 'Kei Satō', 'Yoshio Inaba', 'Hisashi Igawa', 'Tôru Takeuchi', 'Yoshirō Aoki', 'Tatsuo Matsumura', 'Akiji Kobayashi', 'Kôichi Hayashi', 'Ryûtarô Gomi', 'Jô Azumi', 'Nakajirō Tomita', 'Shichisaburô Amatsu']",https://www.imdb.com/title/tt0056058/
The Lord of the Rings: The Return of the King,2003,9.0,2200000,"['Adventure', 'Drama', 'Fantasy']",201,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Noel Appleby', 'Ali Astin', 'Sean Astin', 'David Aston', 'John Bach', 'Sean Bean', 'Cate Blanchett', 'Orlando Bloom', 'Billy Boyd', 'Sadwyn Brophy', 'Alistair Browning', 'Marton Csokas', 'Brad Dourif', 'Richard Edge', 'Jason Fitch']",https://www.imdb.com/title/tt0167260/
Parasite,2019,8.5,1200000,"['Drama', 'Thriller']",132,Bong Joon Ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik', 'Park So-dam', 'Lee Jeong-eun', 'Jang Hye-jin', 'Park Myeong-hoon', 'Jung Ji-so', 'Jung Hyun-jun', 'Park Keun-rok', 'Jung Yi-seo', 'Jo Jae-myeong', 'Jung Ik-han', 'Kim Kyu-baek', 'Hwang In-kyung', 'Ahn Seong-bong', 'Kim Jin-hyung']",https://www.imdb.com/title/tt6751668/
Seven Samurai,1954,8.6,406000,"['Action', 'Drama']",207,Akira Kurosawa,"['Toshirō Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki', 'Kamatari Fujiwara', 'Daisuke Katō', 'Isao Kimura', 'Minoru Chiaki', 'Seiji Miyaguchi', 'Yoshio Kosugi', 'Bokuzen Hidari', 'Yoshio Inaba', 'Yoshio Tsuchiya', 'Kokuten Kōdō', 'Eijirō Tōno', 'Kichijirō Ueda', 'Jun Tatara', 'Atsushi Watanabe']",https://www.imdb.com/title/tt0047478/
